Game,Roll,Me,Subject,Speaking Player,Count,Dice #,Successfull Challenge?
,8,,,Subject,1,2,
,,,,Me,1,5,No
,,,,,,,
,,,1,,,,
,,1,,,,,
,,1,,,,,
29,1,2,1,Subject,1,4,
,,,1,Me,1,6,
,,2,1,Subject,2,6,Yes
,,,1,,,,
,,1,,,,,
,,,1,,,,
,2,,1,Subject,1,4,
,,1,,Me,1,5,
,,,,Subject,2,5,
,,1,1,Me,1,6,No
,,1,2,,,,
,,2,,,,,
,3,2,,Subject,1,3,
,,1,,Me,1,5,
,,,1,Subject,1,6,
,,,,Me,2,6,
,,1,,Subject,3,6,No
,,1,2,,,,
,4,2,,Me,1,1,
,,,1,Subject,1,2,
,,,,Me,1,6,
,,,,Subject,2,6,
,,,1,Me,3,6,No
,,2,1,,,,
,5,,1,Subject,1,1,
,,,,Me,1,3,
,,3,,Subject,1,4,
,,,,Me,1,5,
,,1,1,Subject,2,5,
,,,,Me,1,6,Yes
,6,1,1,Me,1,6,No
,,1,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
,,1,,,,,
,7,,,Subject,1,5,
,,1,,Me,2,5,Yes
,,,1,,,,
,,2,,,,,
,,,,,,,
,,,,,,,
,8,,,Me,1,4,
,,,,Subject,1,6,Yes
,,,1,,,,
,,2,,,,,
,,,,,,,
30,1,1,,Me,1,1,
,,2,1,Subject,1,2,
,,,,Me,2,2,
,,1,1,Subject,1,3,
,,1,1,Me,1,5,
,,,2,Subject,1,6,No
,2,,2,Me,1,1,
,,2,1,Subject,2,1,No
,,1,1,,,,
,,1,1,,,,
,,,,,,,
,,,,,,,
,3,1,1,Me,1,1,
,,1,2,Subject,2,1,
,,1,,Me,1,2,
,,,1,Subject,2,2,
,,,,Me,1,3,
,,,1,Subject,1,4,
,,,,Me,1,6,
,,,,Subject,2,6,Yes
,4,,1,Subject,1,1,
,,1,,Me,1,2,
,,,,Subject,1,4,
,,1,1,Me,1,6,
,,,1,Subject,2,6,No
,,1,1,,,,
,5,,,Me,1,5,
,,1,1,Subject,2,5,
,,,1,Me,1,6,Yes
,,,,,,,
,,1,2,,,,
,,,,,,,
,6,,1,Me,1,6,
,,,,Subject,2,6,Yes
,,,1,,,,
,,,,,,,
,,1,1,,,,
,,,1,,,,
,7,,,Subject,1,3,
,,,,Me,2,3,
,,,1,Subject,1,5,
,,,,Me,2,5,
,,1,2,Subject,3,5,
,,,,Me,1,6,Yes
